STN1_SLCT_MOL_IC5,47558 F
STN1_SLCT_MOL_C6,47560 F
STN1_SLCT_MOL_TOT,47562 F
STN1_RAW_MOL_C6,47564 F
STN1_RAW_MOL_C3,47566 F
STN1_RAW_MOL_IC4,47568 F
STN1_RAW_MOL_NC4,47570 F
STN1_RAW_MOL_IC5,47572 F
STN1_RAW_MOL_NC5,47574 F
STN1_RAW_MOL_N2,47576 F
STN1_RAW_MOL_C1,47578 F
STN1_RAW_MOL_CO2,47580 F
STN1_RAW_MOL_C2,47582 F
STN1_KYPD_MOL_N2,47598 F
STN1_KYPD_MOL_CO2,47600 F
STN1_KYPD_MOL_C1,47606 F
STN1_KYPD_MOL_C2,47608 F
STN1_KYPD_MOL_C3,47610 F
STN1_KYPD_MOL_NC4,47612 F
STN1_KYPD_MOL_IC4,47614 F
STN1_KYPD_MOL_NC5,47616 F
STN1_KYPD_MOL_IC5,47618 F
STN1_KYPD_MOL_C6,47620 F
STN1_KYPD_MOL_TOT,47622 F
CHRK_ACCEPT,47624 F
STN1_GC_RUNTIME,47626 F
STN1_GC_CURSTREAM,47628 F
STN1_GC_MODE,47630 F
STN1_GC_CALIBRATE,47632 F
STN1_GC_ACT_ALARM,47634 F
STN1_GC_UNACT_ALARM,47636 F
STRA_MAINT_MODE,47638 F
STRA_MAINT_STATUS,47640 F
STRB_MAINT_MODE,47642 F
STRB_MAINT_STATUS,47644 F
STRA_HLY_PREV_PRESS,47646 F 
STRA_HLY_PREV_TEMP,47648 F 
STRA_HLY_PREV_DPT,47650 F 
STRA_HLY_AVGFR_UVOL,47654 F
STRA_HLY_AVGFR_CVOL,47656 F
STRA_HLY_AVGFR_ENGY,47658 F
STRA_HLY_PREV_WOBBE_INDEX,47660 F 
STRA_HLY_PREV_BASE_DENS,47662 F 
STRA_HLY_PREV_LINE_DENS,47664 F 
STRA_HLY_PREV_BASE_COMP,47666 F 
STRA_HLY_PREV_LINE_COMP,47668 F 
STRA_HLY_PREV_RELATIVE_DENS,47670 F 
STRA_DLY_PREV_PRESS,47672 F 
STRA_DLY_PREV_TEMP,47674 F 
STRA_DLY_PREV_DPT,47676 F 
STRA_DLY_AVGFR_UVOL,47680 F
STRA_DLY_AVGFR_CVOL,47682 F
STRA_DLY_AVGFR_ENGY,47684 F
STRA_DLY_PREV_WOBBE_INDEX,47686 F 
STRA_DLY_PREV_BASE_DENS,47688 F 
STRA_DLY_PREV_LINE_DENS,47690 F 
STRA_DLY_PREV_BASE_COMP,47692 F 
STRA_DLY_PREV_LINE_COMP,47694 F 
STRA_DLY_PREV_RELATIVE_DENS,47696 F 
STRA_MLY_AVGFR_UVOL,47706 F
STRA_MLY_AVGFR_CVOL,47708 F
STRA_MLY_AVGFR_ENGY,47710 F
STRB_HLY_PREV_PRESS,47724 F 
STRB_HLY_PREV_TEMP,47726 F 
STRB_HLY_PREV_DPT,47728 F 
STRB_HLY_AVGFR_UVOL,47732 F
STRB_HLY_AVGFR_CVOL,47734 F
STRB_HLY_AVGFR_ENGY,47736 F
STRB_HLY_PREV_WOBBE_INDEX,47738 F 
STRB_HLY_PREV_BASE_DENS,47740 F 
STRB_HLY_PREV_LINE_DENS,47742 F 
STRB_HLY_PREV_BASE_COMP,47744 F 
STRB_HLY_PREV_LINE_COMP,47746 F 
STRB_HLY_PREV_RELATIVE_DENS,47748 F 
STRB_DLY_PREV_PRESS,47750 F 
STRB_DLY_PREV_TEMP,47752 F 
STRB_DLY_PREV_DPT,47754 F 
STRB_DLY_AVGFR_UVOL,47758 F
STRB_DLY_AVGFR_CVOL,47760 F
STRB_DLY_AVGFR_ENGY,47762 F
STRB_DLY_PREV_WOBBE_INDEX,47764 F 
STRB_DLY_PREV_BASE_DENS,47766 F 
STRB_DLY_PREV_LINE_DENS,47768 F 
STRB_DLY_PREV_BASE_COMP,47770 F 
STRB_DLY_PREV_LINE_COMP,47772 F 
STRB_DLY_PREV_RELATIVE_DENS,47774 F 
STRB_MLY_AVGFR_UVOL,47784 F
STRB_MLY_AVGFR_CVOL,47786 F
STRB_MLY_AVGFR_ENGY,47788 F
STRA_HLY_MOL_N2,47802 F
STRA_HLY_MOL_CO2,47804 F
STRA_HLY_MOL_C1,47806 F
STRA_HLY_MOL_C2,47808 F
STRA_HLY_MOL_C3,47810 F
STRA_HLY_MOL_NC4,47812 F
STRA_HLY_MOL_IC4,47814 F
STRA_HLY_MOL_NC5,47816 F
STRA_HLY_MOL_IC5,47818 F
STRA_HLY_MOL_C6,47820 F
STRA_HLY_MOL_TOT,47822 F
SDV_COMMAND,47910 F
SDV_STATUS,47912 F
STRB_DLY_MOL_N2,47824 F
STRB_DLY_MOL_CO2,47826 F
STRB_DLY_MOL_C1,47828 F
STRB_DLY_MOL_C2,47830 F
STRB_DLY_MOL_C3,47832 F
STRB_DLY_MOL_NC4,47834 F
STRB_DLY_MOL_IC4,47836 F
STRB_DLY_MOL_NC5,47838 F
STRB_DLY_MOL_IC5,47840 F
STRB_DLY_MOL_C6,47842 F
STRB_DLY_MOL_TOT,47844 F
STRB_MLY_MOL_N2,47846 F
STRB_MLY_MOL_CO2,47848 F
STRB_MLY_MOL_C1,47850 F
STRB_MLY_MOL_C2,47852 F
STRB_MLY_MOL_C3,47854 F
STRB_MLY_MOL_NC4,47856 F
STRB_MLY_MOL_IC4,47858 F
STRB_MLY_MOL_NC5,47860 F
STRB_MLY_MOL_IC5,47862 F
STRB_MLY_MOL_C6,47864 F
STRB_MLY_MOL_TOT,47866 F
CUR_YEAR_A,47868 F
CUR_MONTH_A,47870 F
CUR_DAY_A,47872 F
CUR_HOUR_A,47874 F
CUR_MINUTE_A,47876 F
CUR_SECOND_A,47878 F
DLOAD_YEAR_A,47880 F
DLOAD_MONTH_A,47882 F
DLOAD_DAY_A,47884 F
DLOAD_HOUR_A,47886 F
DLOAD_MINUTE_A,47888 F
DLOAD_SECOND_A,47890 F
DLOAD_TIMEACC_A,47892 F
PT4_HHLIM,47916 F
PT4_LLLIM,47922 F
PT5_HHLIM,47924 F
PT5_LLLIM,47930 F
ESD_BUTTON_IN,47914 F
ESD_BUTTON_OUT,47950 F
INHIBIT_ESD,47952 F
INHIBIT_PT4,47954 F
INHIBIT_PT5,47956 F
