SFB2_CUM_TOT_UVOL,44142 F
SFB2_CUM_TOT_CVOL,44144 F
SFB2_CUM_TOT_ENGY,44148 F
SFB2_NOW_UVOL,44150 F
SFB2_NOW_CVOL,44152 F
SFB2_NOW_ENGY,44156 F
SFB2_TMT_UVOL,44166 F
SFB2_TMT_CVOL,44168 F
SFB2_TMT_ENGY,44172 F
SFB2_DLY_PREV_UVOL,44182 F
SFB2_DLY_PREV_CVOL,44184 F
SFB2_DLY_PREV_ENGY,44188 F
SFB2_HLY_PREV_UVOL,44190 F
SFB2_HLY_PREV_CVOL,44192 F
SFB2_HLY_PREV_ENGY,44196 F
SFB2_MLY_PREV_UVOL,44198 F
SFB2_MLY_PREV_CVOL,44200 F
SFB2_MLY_PREV_ENGY,44204 F
SFB2_MOL_N2,44214 F
SFB2_MOL_CO2,44216 F
SFB2_MOL_C1,44222 F
SFB2_MOL_C2,44224 F
SFB2_MOL_C3,44226 F
SFB2_MOL_NC4,44228 F
SFB2_MOL_IC4,44230 F
SFB2_MOL_NC5,44232 F
SFB2_MOL_IC5,44234 F
SFB2_MOL_C6,44236 F
SFB2_MOL_TOT,44238 F
SFB2_BASE_PRESS,44248 F
SFB2_BASE_TMP,44250 F
SFB2_BASE_DENS,44264 F
SFB2_LINE_DENS,44266 F
SFB2_RELATIVE_DENS,44268 F
SFB2_HEATING_VALUE,44270 F
DPTB_INUSE_FB2,44278 F
PTB_INUSE_FB2,44280 F
TTB_INUSE_FB2,44282 F
STRB_UVOL_FR_FB2,44284 F
STRB_CVOL_FR_FB2,44286 F
STRB_MASS_FR_FB2,44288 F
STRB_ENER_FR_FB2,44290 F
SFB2_UVOL_AVG_PREV_PER,44292 F
SFB2_CVOL_AVG_PREV_PER,44294 F
SFB2_MASS_AVG_PREV_PER,44296 F
SFB2_ENGY_AVG_PREV_PER,44298 F
SFB2_UVOL_AVG_PREV_DAY,44300 F
SFB2_CVOL_AVG_PREV_DAY,44302 F
SFB2_MASS_AVG_PREV_DAY,44304 F
SFB2_ENGY_AVG_PREV_DAY,44306 F
SFB2_UVOL_AVG_PREV_MNT,44308 F
SFB2_CVOL_AVG_PREV_MNT,44310 F
SFB2_MASS_AVG_PREV_MNT,44312 F
SFB2_ENGY_AVG_PREV_MNT,44314 F
SFB2_CUR_DAY,44316 F
SFB2_CUR_MONTH,44318 F
SFB2_CUR_YEAR,44320 F
SFB2_CUR_HOUR,44322 F
SFB2_CUR_MINUTE,44324 F
SFB2_CUR_SECOND,44326 F
